"city","table_name","year","type","total_vote","AKP","MHP","CHP","kurdish_base","independent","others","CrimeNum","InfMortPct","DivorceNum","BirthNum","marriageNum","CrudeDivorceRate_K","CrudeMarriageRate_K","CrudeDeathRate_K","literacyrate","SecEduRateFem","SecEduRateNetPct","ElecCons_pc","BldgCountOccupPermit","FlatCountOccupPermit","SurfaceAreaOccupPermit","BldgCountPermit","SurfaceAreaPermit","NumPubLibraries","LibraryUsers","LibraryBooks","NumMovieTheaters","NumCinemaAudience","NumTheaterHalls","NumTheaterAudience","pop","popdensity","PopGrowthRate","NetMigrationRate","AvgHHSize","AgeDepRatio","ElderDepRatio","ChildDepPct","numdr_pk","hospitalbed_pk","NumHospital","NumHostBed","Enterpreneurs","CropProdKTL","AnimalProdKTL","LivestockV_kTL","CerealsProd_tons","LCattle_head","SCattle_head","agricultural_field","numautomobile_pk","GDPpc_dollar","plaka","duzey_kod","general","alchocol_tabocco","education","unemp","gov_exp","share_exp","mosques","mosque_percentage","log_mosques","lag_AKP","gdp_growth","winner_party","akp_wins","nationalgdp","nationalgdpgrowthrate","nationalunemp","nationalinf"
"isparta","genel_secim_haziran_2015_il",2015,"genel",265218,44.24,26.66,22.15,2.22,NA,4.72999999999999,1131,9.2,628,5232,2760,1.49,6.57,12.4,96.81,96.59,94.74,2639,613,325,563077,772,1288713,29,490110,447211,9,229548,2,6400,421766,50.96,7.1,0.91,3.01,45.19,17.06,28.13,3,483,17,2036,18855,1144672,263755,686608,616353,140535,497074,167840,168,8668,32,"TR61",7.23,4.47,8.13,9.6,1990494,0.39,730,17.30817562345,6.59441345974978,39.82,-12.4974762770038,"AKP",1,-9,3.97,10.3,7.7
"isparta","genel_secim_kasim_2015_il",2015,"genel",260786,53.3,20.1,21.2,1.6,NA,3.8,1131,9.2,628,5232,2760,1.49,6.57,12.4,96.81,96.59,94.74,2639,613,325,563077,772,1288713,29,490110,447211,9,229548,2,6400,421766,50.96,7.1,0.91,3.01,45.19,17.06,28.13,3,483,17,2036,18855,1144672,263755,686608,616353,140535,497074,167840,168,8668,32,"TR61",7.23,4.47,8.13,9.6,1990494,0.39,730,17.30817562345,6.59441345974978,44.24,0,"AKP",1,-9,3.97,10.3,7.7
"isparta","genel_secim_2018_il",2018,"genel",280017,47.75,13.13,16.51,2.13,NA,20.48,1840,8.5,740,4958,2682,1.69,6.13,11.3,97.58,97.23,96.78,3057,722,4974,794247,539,623887,29,696190,536464,17,215772,4,9330,441412,53.34,17.33,21.07,2.9,44.54,17.71,26.83,2,458,15,2022,20464,2187010,344264,1177494,657601,145012,491550,161001,184,7663,32,"TR61",17.47,1.96,11.8,11.6,3916664,0.47,739,16.7417288157096,6.60665018619822,53.3,-11.5943700969082,"AKP",1,-8.4,3,11,16.3
"isparta","yerel_secim_2019_il",2019,"yerel",200893,40.09,29.51,2.51,0,NA,27.89,2346,7.3,784,4769,2642,1.77,5.96,10.8,97.75,95.76,95.27,2687,576,3391,582223,350,442867,29,780787,550411,15,257520,3,6284,444914,53.76,7.9,-1.12,2.86,45.02,18.4,26.63,3,454,15,2022,21150,2488904,426135,1337781,637207,150959,537493,147644,182,7258,32,"TR61",15.78,24.56,17.94,13.3,4029995,0.4,742,16.6773803476627,6.61069604471776,47.75,-5.28513636956805,"AKP",1,-6,0.9,13.7,15.2
"isparta","genel_secim_2023_il",2023,"genel",285725,31.89,20.44,21.97,0.69,NA,25.01,NA,9.6,933,4073,2698,2.08,6.03,9.1,98.02,NA,NA,NA,575,3303,715539,867,1150329,NA,NA,NA,NA,NA,3,4280,449777,54.35,9.95,7.37,2.75,46.29,20.89,25.4,NA,NA,NA,NA,NA,NA,NA,NA,784274,138652,431023,154059,210,NA,32,"TR61",NA,NA,NA,7.2,18564960.74505,0.28,736,16.3636646604873,6.60258789218934,40.09,NA,"AKP",1,24.2,4.5,9.4,53.9
"istanbul","genel_secim_2002_il",2002,"genel",5225026,37.2,5.04,24.06,5.51,0.05,28.19,10930,NA,19751,182003,74987,1.73,6.58,NA,NA,NA,NA,NA,203,10237,3178267,5.323,5265144,44,367011,1021460,204,6380515,32,1092358,11495948,NA,NA,NA,NA,NA,NA,NA,2,269,195,30961,NA,126447,180887,83499,342140,65262,58130,81169,NA,10332,34,"TR10",NA,NA,NA,12.4,5183782,3.68,NA,NA,NA,NA,NA,"AKP",1,16.1,6.16,10.3,45
"istanbul","genel_secim_2007_il",2007,"genel",5766727,45.16,10.44,26.99,5,5,12.41,20394,NA,20323,222060,100535,1.63,8.07,NA,95.61,63.64,63.42,2267,302,22094,5355681,18.086,29872624,42,318874,1102259,256,5758346,21,689030,12573836,2419.91,9.76,2.1,NA,43.08,8.43,34.65,2,230,203,28958,NA,210519,707252,164719,281398,62759,81857,71965,136,16489,34,"TR10",9.18,9.02,8.08,10.4,7967814,3.9,2944,2.34136980949966,7.98786409608569,37.2,59.5915602013163,"AKP",1,22.1,4.67,10.3,8.8
"istanbul","yerel_secim_2009_il",2009,"yerel",6849191,40.04,6.97,33.02,4.59,NA,15.38,11704,11.4,24492,210441,100406,1.91,7.84,16.4,95.93,70.16,70.18,2257,6662,55266,14220825,10.768,19177114,41,347261,1172265,525,11077376,71,2029489,12915158,2485.6,17.02,3.06,3.8,41.96,7.65,34.31,2,255,216,32879,743950,237451,327962,207371,276608,73681,79499,67270,137,15185,34,"TR10",5.75,11.36,7.83,16.8,10337891,3.85,3087,2.39021466094337,8.03527891114467,45.16,-7.9083025047001,"AKP",1,-17.9,-4.83,14,6.3
"istanbul","genel_secim_2011_il",2011,"genel",7960907,49.38,9.39,31.31,5.34,5.34,4.58,12336,7.9,25884,213441,105860,1.93,7.88,15.9,97.09,72.14,71.4,2398,11133,105415,18983932,15.324,26388751,36,412029,1357726,647,13435241,147,1736783,13624240,2622.06,27.42,8.98,3.63,41.12,7.93,33.19,2,230,217,31307,766670,301243,114321,360515,282770,77260,81646,72006,140,18377,34,"TR10",5.55,2.91,4.95,11.8,15164857,4.82,3113,2.28489809339824,8.04366335239394,40.04,21.0207441554165,"AKP",1,6.2,8.77,9.8,6.5
"istanbul","yerel_secim_2014_il",2014,"yerel",8530230,45.75,6.54,37.81,0,NA,9.90000000000001,22085,8.9,28907,242397,112141,2.03,7.86,17,97.49,83.49,82.42,2432,14915,148306,27865453,21.037,40151026,35,580284,1236464,705,19085549,178,2112046,14377018,2766.94,15.18,1,3.51,40.35,8.29,32.06,2,234,236,33581,819983,348883,236599,289491,290051,73786,88149,69232,158,20246,34,"TR10",9.14,3.96,9.41,11.9,21803828,4.86,3269,2.27376775907215,8.0925452638913,49.38,10.1703215976492,"AKP",1,-3.2,3.02,9.9,8.9
"istanbul","genel_secim_haziran_2015_il",2015,"genel",8487049,41.11,11.03,29.14,12.6,NA,6.12,24599,8.2,28023,242888,114382,1.93,7.88,16.7,97.55,84.51,82.99,2440,15506,149102,25305246,19.465,38301168,35,652948,1288799,778,19469337,224,2134685,14657434,2820.91,19.32,3.45,3.48,40.36,8.73,31.63,2,233,236,34089,834764,332715,264602,350943,290659,82677,115921,68833,168,18478,34,"TR10",8.07,4.43,7.86,12.9,24834419,4.91,3317,2.26301547733389,8.10711747075039,45.75,-8.73258915341302,"AKP",1,-9,3.97,10.3,7.7
"istanbul","genel_secim_kasim_2015_il",2015,"genel",9237196,48.9,8.6,30.1,10.3,NA,2.10000000000001,24599,8.2,28023,242888,114382,1.93,7.88,16.7,97.55,84.51,82.99,2440,15506,149102,25305246,19.465,38301168,35,652948,1288799,778,19469337,224,2134685,14657434,2820.91,19.32,3.45,3.48,40.36,8.73,31.63,2,233,236,34089,834764,332715,264602,350943,290659,82677,115921,68833,168,18478,34,"TR10",8.07,4.43,7.86,12.9,24834419,4.91,3317,2.26301547733389,8.10711747075039,41.11,0,"AKP",1,-9,3.97,10.3,7.7
"istanbul","genel_secim_kasim_2015_il",2015,"genel",3361988,47.8,8.6,32.6,8.9,NA,2.09999999999999,24599,8.2,28023,242888,114382,1.93,7.88,16.7,97.55,84.51,82.99,2440,15506,149102,25305246,19.465,38301168,35,652948,1288799,778,19469337,224,2134685,14657434,2820.91,19.32,3.45,3.48,40.36,8.73,31.63,2,233,236,34089,834764,332715,264602,350943,290659,82677,115921,68833,168,18478,34,"TR10",8.07,4.43,7.86,12.9,24834419,4.91,3317,2.26301547733389,8.10711747075039,48.9,0,"AKP",1,-9,3.97,10.3,7.7
"istanbul","genel_secim_kasim_2015_il",2015,"genel",2722231,51.3,8,28.3,10.1,NA,2.30000000000001,24599,8.2,28023,242888,114382,1.93,7.88,16.7,97.55,84.51,82.99,2440,15506,149102,25305246,19.465,38301168,35,652948,1288799,778,19469337,224,2134685,14657434,2820.91,19.32,3.45,3.48,40.36,8.73,31.63,2,233,236,34089,834764,332715,264602,350943,290659,82677,115921,68833,168,18478,34,"TR10",8.07,4.43,7.86,12.9,24834419,4.91,3317,2.26301547733389,8.10711747075039,47.8,0,"AKP",1,-9,3.97,10.3,7.7
"istanbul","genel_secim_kasim_2015_il",2015,"genel",3152977,48.1,9,28.9,11.9,NA,2.09999999999999,24599,8.2,28023,242888,114382,1.93,7.88,16.7,97.55,84.51,82.99,2440,15506,149102,25305246,19.465,38301168,35,652948,1288799,778,19469337,224,2134685,14657434,2820.91,19.32,3.45,3.48,40.36,8.73,31.63,2,233,236,34089,834764,332715,264602,350943,290659,82677,115921,68833,168,18478,34,"TR10",8.07,4.43,7.86,12.9,24834419,4.91,3317,2.26301547733389,8.10711747075039,51.3,0,"AKP",1,-9,3.97,10.3,7.7
"istanbul","genel_secim_2018_il",2018,"genel",9438593,42.69,8.26,26.47,12.67,NA,9.91000000000001,44802,7.5,30619,223223,101333,2.03,6.73,14.8,98.04,89.13,88.81,2683,16261,157975,28894476,9.235,16768261,38,1337791,1460702,901,20509072,245,3003641,15067724,2899.87,2.56,-13.86,3.39,40.44,9.38,31.06,2,261,236,39328,919732,483449,326181,884883,300315,101592,136910,69606,192,16339,34,"TR10",15.52,1.72,11.14,12.5,38167906,4.59,3446,2.28700764627757,8.14525956651686,48.1,-11.5759281307501,"AKP",1,-8.4,3,11,16.3
"istanbul","genel_secim_2018_il",2018,"genel",3454103,41.47,8.19,28.89,11.31,NA,10.14,44802,7.5,30619,223223,101333,2.03,6.73,14.8,98.04,89.13,88.81,2683,16261,157975,28894476,9.235,16768261,38,1337791,1460702,901,20509072,245,3003641,15067724,2899.87,2.56,-13.86,3.39,40.44,9.38,31.06,2,261,236,39328,919732,483449,326181,884883,300315,101592,136910,69606,192,16339,34,"TR10",15.52,1.72,11.14,12.5,38167906,4.59,3446,2.28700764627757,8.14525956651686,42.69,0,"AKP",1,-8.4,3,11,16.3
"istanbul","genel_secim_2018_il",2018,"genel",2695729,45.22,8.11,24.79,12.29,NA,9.59,44802,7.5,30619,223223,101333,2.03,6.73,14.8,98.04,89.13,88.81,2683,16261,157975,28894476,9.235,16768261,38,1337791,1460702,901,20509072,245,3003641,15067724,2899.87,2.56,-13.86,3.39,40.44,9.38,31.06,2,261,236,39328,919732,483449,326181,884883,300315,101592,136910,69606,192,16339,34,"TR10",15.52,1.72,11.14,12.5,38167906,4.59,3446,2.28700764627757,8.14525956651686,41.47,0,"AKP",1,-8.4,3,11,16.3
"istanbul","genel_secim_2018_il",2018,"genel",3288761,41.9,8.46,25.31,14.39,NA,9.94,44802,7.5,30619,223223,101333,2.03,6.73,14.8,98.04,89.13,88.81,2683,16261,157975,28894476,9.235,16768261,38,1337791,1460702,901,20509072,245,3003641,15067724,2899.87,2.56,-13.86,3.39,40.44,9.38,31.06,2,261,236,39328,919732,483449,326181,884883,300315,101592,136910,69606,192,16339,34,"TR10",15.52,1.72,11.14,12.5,38167906,4.59,3446,2.28700764627757,8.14525956651686,45.22,0,"AKP",1,-8.4,3,11,16.3
"istanbul","yerel_secim_2019_il",2019,"yerel",8569494,45.79,2.25,40.2,2.11,NA,9.64999999999999,47091,7.4,32836,208494,100088,2.15,6.54,13.6,98.18,89.51,89.24,2569,11945,136231,25568644,5.226,9846577,39,1588321,1557720,894,16665033,247,2844748,15519267,2986.77,29.53,7.79,3.33,40.1,9.74,30.36,2,262,235,40697,944954,602417,427449,1063701,304377,109160,149964,69104,185,15259,34,"TR10",14.61,24.46,13.19,14.9,46128901,4.61,3499,2.2546167934349,8.1605182474775,41.9,-6.60995164942775,"AKP",1,-6,0.9,13.7,15.2
"istanbul","genel_secim_2023_il",2023,"genel",3769992,0.34,5.97,31.63,6.23,NA,55.83,NA,7.1,33297,156708,106588,2.11,6.75,9.9,98.41,NA,NA,NA,9911,91369,17106557,16.779,32634429,NA,NA,NA,NA,NA,219,2320203,15655924,3013.07,-15.97,-10.71,3.15,38.72,10.98,27.74,NA,NA,NA,NA,NA,NA,NA,NA,290467,89006,162599,74145,230,NA,34,"TR10",NA,NA,NA,8.9,241654515.78582,3.67,3581,2.28731309630783,8.18367658262066,45.79,NA,"CHP",0,24.2,4.5,9.4,53.9
"istanbul","genel_secim_2023_il",2023,"genel",2749298,37.71,5.56,26.36,7.37,NA,23,NA,7.1,33297,156708,106588,2.11,6.75,9.9,98.41,NA,NA,NA,9911,91369,17106557,16.779,32634429,NA,NA,NA,NA,NA,219,2320203,15655924,3013.07,-15.97,-10.71,3.15,38.72,10.98,27.74,NA,NA,NA,NA,NA,NA,NA,NA,290467,89006,162599,74145,230,NA,34,"TR10",NA,NA,NA,8.9,241654515.78582,3.67,3581,2.28731309630783,8.18367658262066,0.34,NA,"AKP",1,24.2,4.5,9.4,53.9
"istanbul","genel_secim_2023_il",2023,"genel",3556584,35.18,6.41,26.15,10.68,NA,21.58,NA,7.1,33297,156708,106588,2.11,6.75,9.9,98.41,NA,NA,NA,9911,91369,17106557,16.779,32634429,NA,NA,NA,NA,NA,219,2320203,15655924,3013.07,-15.97,-10.71,3.15,38.72,10.98,27.74,NA,NA,NA,NA,NA,NA,NA,NA,290467,89006,162599,74145,230,NA,34,"TR10",NA,NA,NA,8.9,241654515.78582,3.67,3581,2.28731309630783,8.18367658262066,37.71,NA,"AKP",1,24.2,4.5,9.4,53.9
"izmir","genel_secim_2002_il",2002,"genel",1874819,17.17,7.8,29.06,5.17,0.03,40.8,6877,NA,8104,44176,23964,2.32,6.85,NA,NA,NA,NA,NA,5161,15023,2275663,1.897,1566086,44,461786,362787,39,1439170,10,138615,3519233,NA,NA,NA,NA,NA,NA,NA,2,310,47,10912,NA,1468162,504861,313135,1919392,264164,633966,215989,NA,7233,35,"TR31",NA,NA,NA,15.7,2669127,1.89,NA,NA,NA,NA,NA,"CHP",0,16.1,6.16,10.3,45
"izmir","genel_secim_2007_il",2007,"genel",2087908,30.5,13.88,35.46,3,3,17.16,11538,NA,8563,53857,30960,2.3,8.33,NA,94.93,72.2,69.99,4139,6022,19482,3477295,6.695,5036565,44,362191,329608,86,2219436,11,211249,3739353,311.3,15.03,7.2,NA,40.23,11.45,28.77,2,299,48,11186,NA,2209319,1415888,1136088,2266145,369636,616708,204519,122,11464,35,"TR31",8.2,9.67,6.83,10.5,4052410,1.99,1702,4.55158953968775,7.44014668066269,17.17,58.4957832158164,"CHP",0,22.1,4.67,10.3,8.8
